YEAR,MODEL,ROW,STORE,COLOR,STOCK#,VIN,SET DATE
1992,FIREBIRD,211,HENDERSON,BLACK,H038197,1G2FS23E8NL219757,12-30-22
1985,FIREBIRD,211,HENDERSON,BLACK,H038109,1G2FS87S0FN238036,12-30-22
2000,CAMARO,211,HENDERSON,GRAY,H038597,2G1FP22K8Y2170822,12-30-22
1992,CAMARO,211,HENDERSON,WHITE,H037030,1G1FP23T6NL119970,12-30-22
1997,FIREBIRD,211,HENDERSON,SILVER,H037597,2G2FS22K2V2208342,12-30-22
1985,FIREBIRD,211,HENDERSON,BLUE,H037927,1G2FW87G3FL619486,12-30-22
1997,FIREBIRD,211,HENDERSON,WHITE,H036475,2G2FS22K8V2205784,12-30-22
1995,CAMARO,211,HENDERSON,BURGUNDY,H036709,2G1FP22P4S2189533,12-30-22
1991,CAPRICE,210,HENDERSON,WHITE,H028120,1G1BN53E6MW206109,12-08-21
1992,ROADMASTER,210,HENDERSON,BLUE,H021153,1G4BT5372NR446252,12-08-21
1995,CAPRICE,210,HENDERSON,GOLD,H030557,1G1BL52W0SR116255,12-08-21
1991,CUSTOM CRUISER,210,HENDERSON,BLUE,H018613,1G3BP83E8MW302505,12-08-21
1994,ROADMASTER,210,HENDERSON,BURGUNDY,H020138,1G4BN52P1RR436572,12-08-21
2005,SONATA,115,HENDERSON,SILVER,H042269,KMHWF25S55A163965,11-16-23
2012,OPTIMA,115,HENDERSON,WHITE,H044620,5XXGM4A72CG037284,11-16-23
2013,SONATA,115,HENDERSON,BLACK,H044577,5NPEB4AC4DH617572,11-16-23
2009,SONATA,115,HENDERSON,GRAY,H044564,5NPET46C59H428880,11-16-23
2005,SONATA,115,HENDERSON,WHITE,H044398,KMHWF25S05A204471,11-16-23
2008,ACCENT,115,HENDERSON,BLACK,H044375,KMHCM36C98U068916,11-16-23
2007,ACCENT,115,HENDERSON,GRAY,H044545,KMHCN46C97U162876,11-16-23
2016,ELANTRA,115,HENDERSON,GRAY,H044483,5NPDH4AE9GH770349,11-16-23
2000,SONATA,115,HENDERSON,SILVER,H044674,KMHWF35V4YA315688,11-16-23
1996,X90,115,HENDERSON,BLUE,H044561,JS3LB11S0T4103821,11-16-23
1998,ELANTRA,115,HENDERSON,TAN,H044422,KMHJF24M4WU688920,11-16-23
2012,OPTIMA,115,HENDERSON,GRAY,H044472,5XXGM4A77CG034154,11-16-23
2005,ELANTRA,115,HENDERSON,SILVER,H044651,KMHDN46D85U045980,11-16-23
2002,XG SERIES,115,HENDERSON,GRAY,H042178,KMHFU45E72A232386,11-16-23
2004,OPTIMA,115,HENDERSON,SILVER,H042859,KNAGD126245265423,11-16-23
2004,OPTIMA,115,HENDERSON,GOLD,H044605,KNAGD126945303665,11-16-23
2001,ESTEEM,115,HENDERSON,WHITE,H044667,JS2GB41S715211965,11-16-23
2011,SONATA,115,HENDERSON,BLACK,H044613,5NPEB4AC3BH237684,11-16-23
1999,CIVIC,110,HENDERSON,SILVER,H044392,1HGEJ8251XL009908,11-15-23
1991,CIVIC,110,HENDERSON,ORANGE,H044369,2HGED736XMH577818,11-15-23
1998,CL,110,HENDERSON,RED,H044653,19UYA2258WL003550,11-15-23
1997,RL,110,HENDERSON,SILVER,H044370,JH4KA9650VC014241,11-15-23
1995,CIVIC,110,HENDERSON,GRAY,H044533,JHMEG8659SS045463,11-15-23
1998,ACCORD,110,HENDERSON,SILVER,H042710,1HGCG5655WA108921,11-15-23
1997,TL,110,HENDERSON,WHITE,H044685,JH4UA3641VC011989,11-15-23
2002,ACCORD,110,HENDERSON,YELLOW,H044405,JHMCG564X2C000829,11-15-23
2000,ACCORD,110,HENDERSON,BLACK,H044606,1HGCG3245YA015529,11-15-23
2003,ACCORD,110,HENDERSON,GRAY,H044498,1HGCM66573A066133,11-15-23
2001,ACCORD,110,HENDERSON,GREEN,H044615,1HGCG16591A058493,11-15-23
1995,ACCORD,110,HENDERSON,TEAL,H044526,JHMCD5633SC032568,11-15-23
2002,ACCORD,110,HENDERSON,SILVER,H044582,1HGCG66832A134735,11-15-23
2005,ACCORD,110,HENDERSON,BLACK,H044531,1HGCM66525A029543,11-15-23
2004,TL,110,HENDERSON,GRAY,H044341,19UUA66224A042732,11-15-23
2004,CIVIC,110,HENDERSON,SILVER,H044507,2HGES26714H556689,11-15-23
1996,ACCORD,110,HENDERSON,GRAY,H042738,1HGCD5556TA131162,11-15-23
2004,TSX,110,HENDERSON,SILVER,H044407,JH4CL96844C035634,11-15-23
1996,BLAZER S10/JIMMY S15,314,HENDERSON,RED,H043983,1GCCS1443T8150345,11-14-23
2002,TRAILBLAZER,314,HENDERSON,GOLD,H043374,1GNDT13S822268465,11-14-23
2005,TRAILBLAZER,314,HENDERSON,GRAY,H044609,1GNDS13S552185017,11-14-23
2008,TRAILBLAZER,314,HENDERSON,GRAY,H044563,1GNDT13S782121062,11-14-23
1995,CIVIC,109,HENDERSON,RED,H044335,JHMEG865XSS013220,11-14-23
2003,BLAZER S10/JIMMY S15,314,HENDERSON,BLACK,H044358,1GCCS14X538261764,11-14-23
2007,TRAILBLAZER,314,HENDERSON,WHITE,H044492,1GNDS13S472276329,11-14-23
2004,MONTANA,312,HENDERSON,RED,H042391,1GMDX03E24D112121,11-14-23
1986,BLAZER S10/JIMMY S15,314,HENDERSON,BLUE,H043603,1G8CS18R2G8149791,11-14-23
2000,S10/S15/SONOMA,314,HENDERSON,BLACK,H044298,1GCCS1442YK185047,11-14-23
2003,RENDEZVOUS,314,HENDERSON,WHITE,H044458,3G5DA03E43S607867,11-14-23
2007,UPLANDER,314,HENDERSON,BLUE,H043543,1GNDV33W37D186518,11-14-23
2003,TRAILBLAZER,314,HENDERSON,BLACK,H043867,1GNDS13S932192095,11-14-23
2005,EQUINOX,314,HENDERSON,RED,H044388,2CNDL13F856069494,11-14-23
1997,SAFARI (GMC),312,HENDERSON,WHITE,H042259,1GKDM19W3VB554104,11-14-23
2002,TRAILBLAZER,314,HENDERSON,WHITE,H044154,1GNDS13S522390154,11-14-23
2002,TRAILBLAZER,314,HENDERSON,RED,H044343,1GNDS13S622276230,11-14-23
2004,BLAZER S10/JIMMY S15,314,HENDERSON,GOLD,H044379,1GNDT13X44K130341,11-14-23
1995,CIVIC,109,HENDERSON,GRAY,H044376,JHMEG8657SS028175,11-14-23
2004,TAURUS,304,HENDERSON,BURGUNDY,H042126,1FAFP56S94A164705,11-13-23
2002,TAURUS,304,HENDERSON,RED,H043308,1FAFP55262G217338,11-13-23
2008,SENTRA,107,HENDERSON,WHITE,H044491,3N1AB61E38L693319,11-13-23
1992,SABLE,304,HENDERSON,GOLD,H040374,1MELM5342NG624165,11-13-23
1999,ALTIMA,107,HENDERSON,GRAY,H044551,1N4DL01D5XC209517,11-13-23
1994,SENTRA,107,HENDERSON,SILVER,H044368,JN1EB31P7RU322897,11-13-23
2006,FIVE HUNDRED,304,HENDERSON,RED,H043034,1FAHP26186G148090,11-13-23
2001,MAXIMA,107,HENDERSON,WHITE,H044474,JN1CA31D01T823060,11-13-23
2005,ALTIMA,107,HENDERSON,GRAY,H044525,1N4AL11D25N428526,11-13-23
1986,UNKNOWN,224,HENDERSON,BROWN,H043158,1HFSC1428GA204895,11-13-23
2003,ALTIMA,107,HENDERSON,SILVER,H044332,1N4AL11D73C232333,11-13-23
2010,TAURUS,304,HENDERSON,SILVER,H043797,1FAHP2KTXAG139715,11-13-23
1979,UNKNOWN,224,HENDERSON,BLACK,H043963,GS850104496,11-13-23
2004,MAXIMA,107,HENDERSON,BLUE,H044331,1N4BA41E24C819805,11-13-23
